gene_name	gene_id	transcript_id	chrom	strand	tss	tes	region_start	region_end	region_length	usable
GCNT2	ENSG00000111846.17	ENST00000410107.5	chr6	+	10492223	10627222	10451263	10627222	175960	yes
C6orf52	ENSG00000137434.11	ENST00000379586.5	chr6	-	10694609	10671422	10671422	10735569	64148	yes
PAK1IP1	ENSG00000111845.4	ENST00000379568.3	chr6	+	10694695	10709782	10653735	10709782	56048	yes
TMEM14C	ENSG00000111843.13	ENST00000229563.5	chr6	+	10722975	10731129	10682015	10731129	49115	yes
AL024498.1	ENSG00000272097.1	ENST00000606652.1	chr6	-	10747663	10746953	10746953	10788623	41671	yes
TMEM14B	ENSG00000137210.13	ENST00000463448.5	chr6	+	10747759	10852753	10706799	10852753	145955	yes
AL024498.2	ENSG00000272162.1	ENST00000480294.1	chr6	+	10747794	10930423	10706834	10930423	223590	yes
MAK	ENSG00000111837.11	ENST00000536370.5	chr6	-	10838555	10762740	10762740	10879515	116776	yes
GCM2	ENSG00000124827.6	ENST00000379491.4	chr6	-	10881941	10873223	10873223	10922901	49679	yes
SYCP2L	ENSG00000153157.12	ENST00000283141.10	chr6	+	10886831	10974309	10845871	10974309	128439	yes
ELOVL2	ENSG00000197977.3	ENST00000354666.3	chr6	-	11044314	10980759	10980759	11085274	104516	yes
SMIM13	ENSG00000224531.5	ENST00000416247.3	chr6	+	11094033	11138733	11053073	11138733	85661	yes
ERVFRD-1	ENSG00000244476.2	ENST00000472091.1	chr6	-	11111732	11102489	11102489	11152692	50204	yes
NEDD9	ENSG00000111859.16	ENST00000448183.6	chr6	-	11382314	11183306	11183306	11423274	239969	yes
AL445430.1	ENSG00000233656.1	ENST00000419796.1	chr6	+	11417350	11481239	11376390	11481239	104850	yes
AL445430.2	ENSG00000242753.1	ENST00000423149.1	chr6	+	11487226	11515710	11446266	11515710	69445	yes
TMEM170B	ENSG00000205269.5	ENST00000379426.1	chr6	+	11538278	11583524	11497318	11583524	86207	yes
AL357518.1	ENSG00000271897.1	ENST00000607169.1	chr6	+	11607552	11607981	11566592	11607981	41390	yes
ADTRP	ENSG00000111863.12	ENST00000414691.7	chr6	-	11779170	11713524	11713524	11820130	106607	yes
AL022724.1	ENSG00000234427.1	ENST00000412132.1	chr6	+	11810602	11811248	11769642	11811248	41607	yes
AL157373.2	ENSG00000229896.2	ENST00000607445.1	chr6	+	12007870	12008643	11966910	12008643	41734	yes
HIVEP1	ENSG00000095951.16	ENST00000379388.6	chr6	+	12012338	12164999	11971378	12164999	193622	yes
EDN1	ENSG00000078401.6	ENST00000379375.5	chr6	+	12290363	12297194	12249403	12297194	47792	yes
LINC02530	ENSG00000234015.1	ENST00000457945.1	chr6	-	12585404	12582915	12582915	12626364	43450	yes
PHACTR1	ENSG00000112137.17	ENST00000379348.2	chr6	+	12718310	12934000	12677350	12934000	256651	yes
AL008729.2	ENSG00000272379.1	ENST00000606393.1	chr6	-	13290490	13290018	13290018	13331450	41433	yes
TBC1D7	ENSG00000145979.17	ENST00000343141.8	chr6	-	13328583	13304954	13304954	13369543	64590	yes
GFOD1	ENSG00000145990.10	ENST00000379287.3	chr6	-	13487555	13357830	13357830	13528515	170686	yes
SIRT5	ENSG00000124523.15	ENST00000397350.6	chr6	+	13574529	13615158	13533569	13615158	81590	yes
NOL7	ENSG00000225921.6	ENST00000451315.6	chr6	+	13615327	13621205	13574367	13621205	46839	yes
RANBP9	ENSG00000010017.12	ENST00000011619.5	chr6	-	13711564	13621498	13621498	13752524	131027	yes
MCUR1	ENSG00000050393.11	ENST00000379170.8	chr6	-	13814568	13786557	13786557	13855528	68972	yes
AL023583.1	ENSG00000272209.1	ENST00000607518.1	chr6	+	13825432	13826574	13784472	13826574	42103	yes
RNF182	ENSG00000180537.12	ENST00000488300.5	chr6	+	13924867	13980302	13883907	13980302	96396	yes
AL022396.1	ENSG00000233981.1	ENST00000427011.1	chr6	+	14004920	14006901	13963960	14006901	42942	yes
CD83	ENSG00000112149.9	ENST00000379153.3	chr6	+	14117641	14136918	14076681	14136918	60238	yes
AL133259.1	ENSG00000285639.1	ENST00000650535.1	chr6	-	14211186	14152196	14152196	14252146	99951	yes
AL353152.1	ENSG00000230631.1	ENST00000455973.1	chr6	-	14231570	14229775	14229775	14272530	42756	yes
LINC01108	ENSG00000226673.2	ENST00000427276.1	chr6	-	14285145	14280127	14280127	14326105	45979	yes
AL080313.2	ENSG00000237346.1	ENST00000456440.1	chr6	-	14393288	14391231	14391231	14434248	43018	yes
AL080313.1	ENSG00000234540.1	ENST00000434947.1	chr6	+	14394326	14404289	14353366	14404289	50924	yes
AL109914.1	ENSG00000229646.2	ENST00000414740.2	chr6	-	14599690	14597514	14597514	14640650	43137	yes
AL138720.1	ENSG00000234261.3	ENST00000437648.1	chr6	-	15090003	14976788	14976788	15130963	154176	yes
AL136162.1	ENSG00000271888.1	ENST00000607711.1	chr6	-	15245000	15243923	15243923	15285960	42038	yes
JARID2	ENSG00000008083.13	ENST00000341776.6	chr6	+	15246296	15522021	15205336	15522021	316686	yes
DTNBP1	ENSG00000047579.19	ENST00000622898.4	chr6	-	15663058	15522810	15522810	15704018	181209	yes
LINC02543	ENSG00000232947.1	ENST00000451285.1	chr6	+	15994944	15999797	15953984	15999797	45814	yes
MYLIP	ENSG00000007944.14	ENST00000356840.7	chr6	+	16129125	16146881	16088165	16146881	58717	yes
GMPR	ENSG00000137198.9	ENST00000259727.4	chr6	+	16238580	16295549	16197620	16295549	97930	yes
ATXN1	ENSG00000124788.18	ENST00000498374.1	chr6	-	16761491	16738465	16738465	16802451	63987	yes
AL137003.2	ENSG00000272341.1	ENST00000606924.1	chr6	+	16764346	16766883	16723386	16766883	43498	yes
STMND1	ENSG00000230873.8	ENST00000366215.2	chr6	+	17127938	17131372	17086978	17131372	44395	yes
RBM24	ENSG00000112183.14	ENST00000379052.9	chr6	+	17281346	17293875	17240386	17293875	53490	yes
CAP2	ENSG00000112186.11	ENST00000229922.6	chr6	+	17393216	17557792	17352256	17557792	205537	yes
FAM8A1	ENSG00000137414.5	ENST00000259963.3	chr6	+	17600355	17611719	17559395	17611719	52325	yes
NUP153	ENSG00000124789.11	ENST00000613258.4	chr6	-	17706834	17615035	17615035	17747794	132760	yes
KIF13A	ENSG00000137177.19	ENST00000502704.2	chr6	-	17987623	17950406	17950406	18028583	78178	yes
NHLRC1	ENSG00000187566.5	ENST00000340650.5	chr6	-	18122687	18120440	18120440	18163647	43208	yes
TPMT	ENSG00000137364.4	ENST00000309983.4	chr6	-	18155074	18128311	18128311	18196034	67724	yes
KDM1B	ENSG00000165097.14	ENST00000546309.6	chr6	+	18155329	18222043	18114369	18222043	107675	yes
DEK	ENSG00000124795.15	ENST00000397239.7	chr6	-	18264823	18223868	18223868	18305783	81916	yes
RNF144B	ENSG00000137393.9	ENST00000259939.3	chr6	+	18387350	18468874	18346390	18468874	122485	yes
MIR548A1HG	ENSG00000283408.1	ENST00000636739.1	chr6	+	18522739	18536196	18481779	18536196	54418	yes
AL357052.1	ENSG00000231662.1	ENST00000443504.1	chr6	-	19321021	19290319	19290319	19361981	71663	yes
ID4	ENSG00000172201.11	ENST00000378700.7	chr6	+	19837386	19840684	19796426	19840684	44259	yes
MBOAT1	ENSG00000172197.10	ENST00000324607.7	chr6	-	20212399	20102145	20102145	20253359	151215	yes
E2F3	ENSG00000112242.14	ENST00000346618.7	chr6	+	20402167	20493715	20361207	20493715	132509	yes
CDKAL1	ENSG00000145996.11	ENST00000274695.8	chr6	+	20534457	21232404	20493497	21232404	738908	yes
AL031767.1	ENSG00000227089.2	ENST00000426374.2	chr6	-	21355296	21354411	21354411	21396256	41846	yes
LINC00581	ENSG00000280989.1	ENST00000630914.1	chr6	-	21511895	21486061	21486061	21552855	66795	yes
AL512380.1	ENSG00000231754.2	ENST00000447728.1	chr6	-	21523772	21522476	21522476	21564732	42257	yes
SOX4	ENSG00000124766.6	ENST00000244745.3	chr6	+	21592768	21598619	21551808	21598619	46812	yes
CASC15	ENSG00000272168.6	ENST00000606336.5	chr6	+	21664772	21909837	21623812	21909837	286026	yes
NBAT1	ENSG00000260455.1	ENST00000566912.1	chr6	-	22147193	22134957	22134957	22188153	53197	yes
AL359694.2	ENSG00000261568.1	ENST00000567753.1	chr6	+	22220781	22222395	22179821	22222395	42575	yes
PRL	ENSG00000172179.11	ENST00000615510.4	chr6	-	22297501	22287244	22287244	22338461	51218	yes
HDGFL1	ENSG00000112273.6	ENST00000510882.3	chr6	+	22569493	22571666	22528533	22571666	43134	yes
AL033539.1	ENSG00000228772.2	ENST00000427775.2	chr6	-	22593833	22589137	22589137	22634793	45657	yes
AL035401.1	ENSG00000233358.2	ENST00000420572.2	chr6	-	23031780	22744395	22744395	23072740	328346	yes
AL139231.1	ENSG00000235743.1	ENST00000431001.1	chr6	+	23337711	23346560	23296751	23346560	49810	yes
NRSN1	ENSG00000152954.11	ENST00000378491.8	chr6	+	24126122	24147411	24085162	24147411	62250	yes
KAAG1	ENSG00000146049.1	ENST00000274766.1	chr6	+	24356903	24358284	24315943	24358284	42342	yes
DCDC2	ENSG00000146038.11	ENST00000378454.7	chr6	-	24358052	24171756	24171756	24399012	227257	yes
MRS2	ENSG00000124532.14	ENST00000378386.7	chr6	+	24402954	24425582	24361994	24425582	63589	yes
GPLD1	ENSG00000112293.14	ENST00000230036.1	chr6	-	24489622	24428177	24428177	24530582	102406	yes
ALDH5A1	ENSG00000112294.12	ENST00000357578.7	chr6	+	24494852	24537207	24453892	24537207	83316	yes
KIAA0319	ENSG00000137261.13	ENST00000537886.5	chr6	-	24646155	24544104	24544104	24687115	143012	yes
TDP2	ENSG00000111802.13	ENST00000378198.8	chr6	-	24667033	24649977	24649977	24707993	58017	yes
ACOT13	ENSG00000112304.10	ENST00000537591.5	chr6	+	24667035	24705065	24626075	24705065	78991	yes
C6orf62	ENSG00000112308.12	ENST00000378119.8	chr6	-	24720836	24704861	24704861	24761796	56936	yes
AL133264.2	ENSG00000224164.1	ENST00000423504.1	chr6	+	24749067	24751689	24708107	24751689	43583	yes
GMNN	ENSG00000112312.9	ENST00000230056.7	chr6	+	24774938	24786099	24733978	24786099	52122	yes
ARMH2	ENSG00000260286.3	ENST00000565469.3	chr6	-	24798889	24797321	24797321	24839849	42529	yes
AL512428.1	ENSG00000282804.1	ENST00000562221.1	chr6	-	24809798	24797373	24797373	24850758	53386	yes
RIPOR2	ENSG00000111913.18	ENST00000606385.1	chr6	-	25042170	25014952	25014952	25083130	68179	yes
AL133268.2	ENSG00000223623.1	ENST00000416595.1	chr6	-	25057073	25053627	25053627	25098033	44407	yes
CARMIL1	ENSG00000079691.17	ENST00000461945.1	chr6	+	25279078	25452597	25238118	25452597	214480	yes
SCGN	ENSG00000079689.13	ENST00000377961.2	chr6	+	25652236	25701783	25611276	25701783	90508	yes
HIST1H2AA	ENSG00000164508.4	ENST00000297012.4	chr6	-	25726527	25726132	25726132	25767487	41356	yes
HIST1H2BA	ENSG00000146047.6	ENST00000274764.4	chr6	+	25726777	25727292	25685817	25727292	41476	yes
SLC17A4	ENSG00000146039.10	ENST00000377905.8	chr6	+	25754699	25781191	25713739	25781191	67453	yes
SLC17A1	ENSG00000124568.10	ENST00000468082.1	chr6	-	25830557	25798785	25798785	25871517	72733	yes
SLC17A3	ENSG00000124564.17	ENST00000361703.10	chr6	-	25874212	25845100	25845100	25915172	70073	yes
SLC17A2	ENSG00000112337.10	ENST00000360488.7	chr6	-	25930611	25912754	25912754	25971571	58818	yes
TRIM38	ENSG00000112343.10	ENST00000357085.4	chr6	+	25962802	25991226	25921842	25991226	69385	yes
U91328.1	ENSG00000272462.2	ENST00000606723.2	chr6	+	25992662	26001775	25951702	26001775	50074	yes
U91328.3	ENSG00000272810.1	ENST00000608919.1	chr6	+	26013241	26013757	25972281	26013757	41477	yes
HIST1H1A	ENSG00000124610.4	ENST00000244573.4	chr6	-	26017732	26017085	26017085	26058692	41608	yes
HIST1H3A	ENSG00000275714.1	ENST00000613854.1	chr6	+	26020490	26020900	25979530	26020900	41371	yes
HIST1H4A	ENSG00000278637.1	ENST00000617569.1	chr6	+	26021679	26021990	25980719	26021990	41272	yes
HIST1H4B	ENSG00000278705.1	ENST00000377745.3	chr6	-	26027252	26026815	26026815	26068212	41398	yes
HIST1H3B	ENSG00000274267.1	ENST00000621411.1	chr6	-	26032060	26031650	26031650	26073020	41371	yes
HIST1H2AB	ENSG00000278463.1	ENST00000615868.1	chr6	-	26033568	26033176	26033176	26074528	41353	yes
HIST1H2BB	ENSG00000276410.3	ENST00000615966.1	chr6	-	26043657	26043277	26043277	26084617	41341	yes
HIST1H3C	ENSG00000278272.1	ENST00000612966.1	chr6	+	26045411	26045821	26004451	26045821	41371	yes
HIST1H1C	ENSG00000187837.3	ENST00000343677.3	chr6	-	26056428	26055787	26055787	26097388	41602	yes
HFE	ENSG00000010704.18	ENST00000317896.11	chr6	+	26087281	26095217	26046321	26095217	48897	yes
HIST1H4C	ENSG00000197061.4	ENST00000377803.3	chr6	+	26103876	26104310	26062916	26104310	41395	yes
HIST1H1T	ENSG00000187475.5	ENST00000338379.5	chr6	-	26108136	26107419	26107419	26149096	41678	yes
HIST1H2BC	ENSG00000180596.7	ENST00000314332.5	chr6	-	26123910	26114873	26114873	26164870	49998	yes
HIST1H2AC	ENSG00000180573.9	ENST00000314088.6	chr6	+	26124145	26139116	26083185	26139116	55932	yes
HIST1H1E	ENSG00000168298.6	ENST00000304218.5	chr6	+	26156354	26157107	26115394	26157107	41714	yes
HIST1H2BD	ENSG00000158373.8	ENST00000289316.2	chr6	+	26158146	26171349	26117186	26171349	54164	yes
HIST1H2BE	ENSG00000274290.2	ENST00000634910.1	chr6	+	26172059	26184655	26131099	26184655	53557	yes
HIST1H4D	ENSG00000277157.1	ENST00000614247.1	chr6	-	26189076	26188765	26188765	26230036	41272	yes
HIST1H3D	ENSG00000197409.7	ENST00000356476.2	chr6	-	26197250	26196840	26196840	26238210	41371	yes
HIST1H2AD	ENSG00000196866.2	ENST00000341023.1	chr6	-	26199243	26198851	26198851	26240203	41353	yes
AL031777.3	ENSG00000282988.2	ENST00000635200.1	chr6	-	26199293	26196754	26196754	26240253	43500	yes
HIST1H2BF	ENSG00000277224.2	ENST00000356530.5	chr6	+	26199520	26200715	26158560	26200715	42156	yes
HIST1H4E	ENSG00000276966.2	ENST00000615164.2	chr6	+	26204552	26206038	26163592	26206038	42447	yes
HIST1H2BG	ENSG00000273802.2	ENST00000541790.3	chr6	-	26216692	26215159	26215159	26257652	42494	yes
HIST1H2AE	ENSG00000277075.2	ENST00000303910.4	chr6	+	26216975	26217483	26176015	26217483	41469	yes
HIST1H3E	ENSG00000274750.2	ENST00000634733.1	chr6	+	26224199	26227473	26183239	26227473	44235	yes
HIST1H1D	ENSG00000124575.6	ENST00000244534.6	chr6	-	26234933	26234268	26234268	26275893	41626	yes
HIST1H4F	ENSG00000274618.1	ENST00000244537.5	chr6	+	26240426	26240737	26199466	26240737	41272	yes
HIST1H4G	ENSG00000275663.1	ENST00000611444.1	chr6	-	26246977	26246681	26246681	26287937	41257	yes
HIST1H3F	ENSG00000277775.1	ENST00000618052.1	chr6	-	26250605	26250195	26250195	26291565	41371	yes
HIST1H2BH	ENSG00000275713.2	ENST00000619466.2	chr6	+	26251651	26253710	26210691	26253710	43020	yes
HIST1H3G	ENSG00000273983.1	ENST00000614378.1	chr6	-	26271815	26269405	26269405	26312775	43371	yes
HIST1H2BI	ENSG00000278588.1	ENST00000377733.3	chr6	+	26272976	26273356	26232016	26273356	41341	yes
HIST1H4H	ENSG00000158406.4	ENST00000634560.1	chr6	-	26285534	26281055	26281055	26326494	45440	yes
BTN3A2	ENSG00000186470.13	ENST00000377708.6	chr6	+	26365264	26376236	26324304	26376236	51933	yes
BTN2A2	ENSG00000124508.16	ENST00000469230.5	chr6	+	26383096	26394874	26342136	26394874	52739	yes
BTN3A1	ENSG00000026950.16	ENST00000289361.10	chr6	+	26402237	26415216	26361277	26415216	53940	yes
BTN3A3	ENSG00000111801.15	ENST00000244519.6	chr6	+	26440472	26453415	26399512	26453415	53904	yes
BTN2A1	ENSG00000112763.16	ENST00000312541.9	chr6	+	26457925	26469637	26416965	26469637	52673	yes
BTN1A1	ENSG00000124557.12	ENST00000244513.10	chr6	+	26501221	26510422	26460261	26510422	50162	yes
HCG11	ENSG00000228223.3	ENST00000411553.3	chr6	+	26521709	26527404	26480749	26527404	46656	yes
HMGN4	ENSG00000182952.4	ENST00000377575.2	chr6	+	26538405	26546254	26497445	26546254	48810	yes
AL121936.1	ENSG00000284607.1	ENST00000641660.1	chr6	+	26569324	26574698	26528364	26574698	46335	yes
ABT1	ENSG00000146109.4	ENST00000274849.2	chr6	+	26596952	26600744	26555992	26600744	44753	yes
AL513548.3	ENSG00000275846.1	ENST00000611708.1	chr6	+	26602733	26606661	26561773	26606661	44889	yes
ZNF322	ENSG00000181315.10	ENST00000415922.6	chr6	-	26659752	26634383	26634383	26700712	66330	yes
AL513548.4	ENSG00000285571.1	ENST00000647995.1	chr6	+	26677003	26683211	26636043	26683211	47169	yes
AL513548.1	ENSG00000261584.1	ENST00000562904.1	chr6	+	26686241	26687964	26645281	26687964	42684	yes
LINC00240	ENSG00000224843.6	ENST00000607607.5	chr6	+	26956992	26974367	26916032	26974367	58336	yes
AL133255.1	ENSG00000272312.1	ENST00000606374.1	chr6	-	27001648	27001208	27001208	27042608	41401	yes
AL021807.1	ENSG00000272468.1	ENST00000607175.1	chr6	-	27123221	27122657	27122657	27164181	41525	yes
HIST1H2BJ	ENSG00000124635.8	ENST00000607124.1	chr6	-	27132750	27125897	27125897	27173710	47814	yes
HIST1H2AG	ENSG00000196787.3	ENST00000359193.3	chr6	+	27133042	27135291	27092082	27135291	43210	yes
HIST1H4I	ENSG00000276180.1	ENST00000615353.1	chr6	+	27138588	27139881	27097628	27139881	42254	yes
HIST1H2BK	ENSG00000197903.7	ENST00000356950.1	chr6	-	27146798	27146418	27146418	27187758	41341	yes
HIST1H2AH	ENSG00000274997.1	ENST00000377459.2	chr6	+	27147129	27147515	27106169	27147515	41347	yes
PRSS16	ENSG00000112812.15	ENST00000230582.7	chr6	+	27247723	27256471	27206763	27256471	49709	yes
POM121L2	ENSG00000158553.4	ENST00000429945.1	chr6	-	27311312	27285903	27285903	27352272	66370	yes
ZNF391	ENSG00000124613.8	ENST00000244576.8	chr6	+	27388718	27403904	27347758	27403904	56147	yes
AL031118.1	ENSG00000271755.1	ENST00000607727.1	chr6	-	27406964	27404010	27404010	27447924	43915	yes
ZNF184	ENSG00000096654.15	ENST00000211936.10	chr6	-	27473118	27450743	27450743	27514078	63336	yes
AL021918.3	ENSG00000285703.1	ENST00000648816.1	chr6	-	27519435	27491422	27491422	27560395	68974	yes
LINC01012	ENSG00000281706.2	ENST00000629732.1	chr6	+	27694079	27709157	27653119	27709157	56039	yes
HIST1H2BL	ENSG00000185130.5	ENST00000377401.3	chr6	-	27807931	27807444	27807444	27848891	41448	yes
HIST1H2AI	ENSG00000196747.4	ENST00000358739.4	chr6	+	27808199	27808701	27767239	27808701	41463	yes
HIST1H3H	ENSG00000278828.1	ENST00000369163.3	chr6	+	27810064	27811300	27769104	27811300	42197	yes
HIST1H2AJ	ENSG00000276368.1	ENST00000333151.4	chr6	-	27814740	27814354	27814354	27855700	41347	yes
HIST1H2BM	ENSG00000273703.1	ENST00000621112.1	chr6	+	27815044	27815424	27774084	27815424	41341	yes
HIST1H4J	ENSG00000197238.4	ENST00000355057.2	chr6	+	27824108	27824480	27783148	27824480	41333	yes
HIST1H4K	ENSG00000273542.1	ENST00000611927.1	chr6	-	27831527	27831216	27831216	27872487	41272	yes
HIST1H2AK	ENSG00000275221.1	ENST00000618958.1	chr6	-	27838339	27837947	27837947	27879299	41353	yes
HIST1H2BN	ENSG00000233822.4	ENST00000449538.3	chr6	+	27838545	27852204	27797585	27852204	54620	yes
HIST1H2AL	ENSG00000276903.1	ENST00000613174.1	chr6	+	27865355	27865747	27824395	27865747	41353	yes
HIST1H1B	ENSG00000184357.4	ENST00000331442.4	chr6	-	27867529	27866849	27866849	27908489	41641	yes
HIST1H3I	ENSG00000275379.1	ENST00000616365.1	chr6	-	27872315	27871905	27871905	27913275	41371	yes
HIST1H4L	ENSG00000275126.1	ENST00000618305.1	chr6	-	27873510	27873199	27873199	27914470	41272	yes
HIST1H3J	ENSG00000197153.4	ENST00000479986.1	chr6	-	27893106	27890635	27890635	27934066	43432	yes
HIST1H2AM	ENSG00000278677.1	ENST00000359611.3	chr6	-	27893149	27892757	27892757	27934109	41353	yes
HIST1H2BO	ENSG00000274641.1	ENST00000616182.1	chr6	+	27893463	27893843	27852503	27893843	41341	yes
OR2B2	ENSG00000168131.4	ENST00000303324.4	chr6	-	27912396	27911185	27911185	27953356	42172	yes
OR2B6	ENSG00000124657.1	ENST00000244623.1	chr6	+	27957241	27958182	27916281	27958182	41902	yes
ZNF165	ENSG00000197279.3	ENST00000377325.1	chr6	+	28080975	28089563	28040015	28089563	49549	yes
ZSCAN16	ENSG00000196812.4	ENST00000340487.4	chr6	+	28124560	28130082	28083600	28130082	46483	yes
AL358933.1	ENSG00000261839.1	ENST00000565046.1	chr6	+	28136849	28139678	28095889	28139678	43790	yes
ZKSCAN8	ENSG00000198315.10	ENST00000606198.5	chr6	+	28141910	28154111	28100950	28154111	53162	yes
ZSCAN9	ENSG00000137185.12	ENST00000425468.6	chr6	+	28225275	28233466	28184315	28233466	49152	yes
ZKSCAN4	ENSG00000187626.8	ENST00000377294.2	chr6	-	28252224	28244623	28244623	28293184	48562	yes
NKAPL	ENSG00000189134.3	ENST00000343684.3	chr6	+	28259320	28260958	28218360	28260958	42599	yes
ZSCAN26	ENSG00000197062.11	ENST00000421553.6	chr6	+	28267010	28278221	28226050	28278221	52172	yes
AL021997.3	ENSG00000276302.1	ENST00000621053.1	chr6	+	28267121	28281580	28226161	28281580	55420	yes
PGBD1	ENSG00000137338.5	ENST00000259883.3	chr6	+	28281572	28302549	28240612	28302549	61938	yes
ZKSCAN3	ENSG00000189298.13	ENST00000252211.6	chr6	+	28349914	28369177	28308954	28369177	60224	yes
ZSCAN31	ENSG00000235109.7	ENST00000396838.6	chr6	-	28354195	28324737	28324737	28395155	70419	yes
ZSCAN12	ENSG00000158691.14	ENST00000361028.5	chr6	-	28399734	28378955	28378955	28440694	61740	yes
ZSCAN23	ENSG00000187987.9	ENST00000289788.4	chr6	-	28443467	28432655	28432655	28484427	51773	yes
GPX6	ENSG00000198704.9	ENST00000361902.5	chr6	-	28515793	28503296	28503296	28556753	53458	yes
GPX5	ENSG00000224586.6	ENST00000412168.6	chr6	+	28525925	28534952	28484965	28534952	49988	yes
ZBED9	ENSG00000232040.3	ENST00000452236.2	chr6	-	28587335	28571630	28571630	28628295	56666	yes
LINC00533	ENSG00000235570.1	ENST00000456103.1	chr6	-	28649066	28648286	28648286	28690026	41741	yes
AL662890.1	ENSG00000225173.1	ENST00000457253.1	chr6	-	28839006	28837869	28837869	28879966	42098	yes
LINC01623	ENSG00000225595.2	ENST00000606727.1	chr6	-	28863677	28861150	28861150	28904637	43488	yes
TRIM27	ENSG00000204713.10	ENST00000377199.3	chr6	-	28923989	28903002	28903002	28964949	61948	yes
LINC01556	ENSG00000204709.4	ENST00000377186.3	chr6	+	28943877	28944537	28902917	28944537	41621	yes
ZNF311	ENSG00000197935.6	ENST00000483450.1	chr6	-	29005316	28994785	28994785	29046276	51492	yes
OR2W1	ENSG00000204704.2	ENST00000377175.1	chr6	-	29045240	29044213	29044213	29086200	41988	yes
OR2B3	ENSG00000204703.5	ENST00000377173.4	chr6	-	29087313	29086208	29086208	29128273	42066	yes
OR2J1	ENSG00000204702.5	ENST00000641659.1	chr6	+	29099657	29102701	29058697	29102701	44005	yes
OR2J3	ENSG00000204701.2	ENST00000641151.1	chr6	+	29108059	29114770	29067099	29114770	47672	yes
AL645937.2	ENSG00000227206.1	ENST00000419702.1	chr6	+	29124210	29128908	29083250	29128908	45659	yes
AL645937.4	ENSG00000284656.1	ENST00000641122.1	chr6	-	29166201	29162475	29162475	29207161	44687	yes
OR2J2	ENSG00000204700.5	ENST00000641417.1	chr6	+	29170907	29175811	29129947	29175811	45865	yes
OR14J1	ENSG00000204695.4	ENST00000641895.1	chr6	+	29301701	29313017	29260741	29313017	52277	yes
OR12D3	ENSG00000112462.8	ENST00000396806.3	chr6	-	29375291	29373423	29373423	29416251	42829	yes
OR12D2	ENSG00000280236.3	ENST00000642051.1	chr6	+	29395631	29398008	29354671	29398008	43338	yes
OR5V1	ENSG00000243729.4	ENST00000377154.1	chr6	-	29431967	29355230	29355230	29472927	117698	yes
OR10C1	ENSG00000206474.8	ENST00000444197.3	chr6	+	29439306	29440977	29398346	29440977	42632	yes
OR11A1	ENSG00000204694.11	ENST00000377149.5	chr6	-	29457071	29425504	29425504	29498031	72528	yes
OR2H1	ENSG00000204688.9	ENST00000377136.5	chr6	+	29457181	29464328	29416221	29464328	48108	yes
MAS1L	ENSG00000204687.4	ENST00000377127.4	chr6	-	29487956	29486697	29486697	29528916	42220	yes
AL662860.1	ENSG00000229274.1	ENST00000436804.1	chr6	+	29497509	29510556	29456549	29510556	54008	yes
OR2I1P	ENSG00000237988.5	ENST00000641137.1	chr6	+	29550407	29557721	29509447	29557721	48275	yes
UBD	ENSG00000213886.3	ENST00000377050.4	chr6	-	29559925	29555515	29555515	29600885	45371	yes
OR2H2	ENSG00000204657.4	ENST00000641840.1	chr6	+	29585121	29590500	29544161	29590500	46340	yes
GABBR1	ENSG00000204681.10	ENST00000377034.8	chr6	-	29633185	29602238	29602238	29674145	71908	yes
MOG	ENSG00000204655.11	ENST00000376917.7	chr6	+	29656981	29672372	29616021	29672372	56352	yes
ZFP57	ENSG00000204644.9	ENST00000488757.5	chr6	-	29677154	29672392	29672392	29718114	45723	yes
HLA-F	ENSG00000204642.13	ENST00000376861.5	chr6	+	29722775	29726526	29681815	29726526	44712	yes
AL645939.4	ENSG00000272236.1	ENST00000606834.1	chr6	-	29752207	29751965	29751965	29793167	41203	yes
AL645939.5	ENSG00000285761.1	ENST00000648999.1	chr6	+	29752573	29763295	29711613	29763295	51683	yes
HLA-G	ENSG00000204632.11	ENST00000376828.6	chr6	+	29826967	29831125	29786007	29831125	45119	yes
HCP5B	ENSG00000281831.1	ENST00000630472.1	chr6	-	29873783	29871895	29871895	29914743	42849	yes
HLA-A	ENSG00000206503.12	ENST00000396634.5	chr6	+	29941260	29945884	29900300	29945884	45585	yes
HCG9	ENSG00000204625.10	ENST00000376800.7	chr6	+	29975112	29978410	29934152	29978410	44259	yes
ZNRD1	ENSG00000066379.14	ENST00000471008.5	chr6	+	30058899	30064909	30017939	30064909	46971	yes
PPP1R11	ENSG00000204619.7	ENST00000376772.7	chr6	+	30067088	30070333	30026128	30070333	44206	yes
RNF39	ENSG00000204618.8	ENST00000244360.6	chr6	-	30075887	30070266	30070266	30116847	46582	yes
TRIM31	ENSG00000204616.10	ENST00000493404.1	chr6	-	30112475	30111218	30111218	30153435	42218	yes
TRIM40	ENSG00000204614.8	ENST00000396581.5	chr6	+	30136108	30148735	30095148	30148735	53588	yes
TRIM10	ENSG00000204613.10	ENST00000376704.3	chr6	-	30160934	30151945	30151945	30201894	49950	yes
TRIM15	ENSG00000204610.12	ENST00000376694.8	chr6	+	30163216	30172696	30122256	30172696	50441	yes
TRIM26	ENSG00000234127.8	ENST00000453195.5	chr6	-	30213427	30184455	30184455	30254387	69933	yes
HCG17	ENSG00000270604.5	ENST00000455957.5	chr6	-	30234477	30234039	30234039	30275437	41399	yes
TRIM39	ENSG00000204599.14	ENST00000376659.9	chr6	+	30327259	30343729	30286299	30343729	57431	yes
